No,Student ID,Level Cohort,Term No / Semester No,Session,GPA,CGPA,Academic Status,Academic Awards,Credit Hours Earned,Credit Hours Remaining,Credit Hours Progression
50,0027784,DSW_PT2101,7,202301,3.03,2.86,Good Standing,,62,28,69
51,0027784,DSW_PT2101,8,202305,3.67,2.94,Good Standing,,68,22,76
52,0027784,DSW_PT2101,9,202308,3.19,2.99,Good Standing,,80,10,89
53,0027784,DSW_PT2101,10,202401,3.53,3.05,Good Standing,,90,0,100
54,0025180,DSW_PT1808,1,201808,3.22,3.22,Good Standing,,12,78,13
55,0025180,DSW_PT1808,2,201901,3,3.13,Good Standing,,18,72,20
56,0025180,DSW_PT1808,3,201904,2.83,3.01,Good Standing,,30,60,33
57,0025180,DSW_PT1808,4,201908,2.93,2.99,Good Standing,,42,48,47
58,0025180,DSW_PT1808,5,202001,3.44,3.06,Good Standing,,48,42,53
59,0025180,DSW_PT1808,6,202004,3.17,3.08,Good Standing,,60,30,67
60,0025180,DSW_PT1808,7,202008,3.55,3.15,Good Standing,,72,18,80
61,0025180,DSW_PT1808,8,202101,3.49,3.2,Good Standing,,83,7,92
62,0025180,DSW_PT1808,10,202108,2.84,3.16,Good Standing,,91,0,100
63,0030858,DFT2408,1,202408,3.24,3.24,Good Standing,,17,73,19
64,0030858,DFT2408,2,202501,3,3.12,Good Standing,,34,56,38
65,0030858,DFT2408,3,202506,3.71,3.22,Good Standing,,41,49,46
66,0031095,DDM2501,1,202501,3.25,3.25,Good Standing,,17,73,19
67,0031095,DDM2501,2,202506,3.75,3.41,Good Standing,,25,65,28
68,0030336,DDB2401,1,202401,2.8,2.8,Good Standing,,17,73,19
69,0030336,DDB2401,2,202406,3.29,2.96,Good Standing,,25,65,28
70,0030336,DDB2401,3,202408,3.06,3,Good Standing,,42,48,47
71,0030336,DDB2401,4,202501,2.83,2.95,Good Standing,,60,30,67
72,0030336,DDB2401,5,202506,3.75,3.04,Good Standing,,68,22,76
73,0029949,DIT2308,1,202308,3.23,3.23,Good Standing,,17,73,19
74,0029949,DIT2308,2,202401,3.22,3.23,Good Standing,,34,56,38
75,0029949,DIT2308,3,202406,4,3.37,Good Standing,,42,48,47
76,0029949,DIT2308,4,202408,3.56,3.43,Good Standing,Dean's List,60,30,67
77,0029949,DIT2308,5,202501,3.42,3.43,Good Standing,,76,14,84
78,0029949,DIT2308,6,202506,3.75,3.46,Good Standing,,84,6,93
79,0031001,DDB2501,1,202501,2.37,2.37,Good Standing,,14,76,16
80,0031001,DDB2501,2,202506,3.42,2.71,Good Standing,,22,68,24
81,0030649,DFT2406,1,202406,4,4,Good Standing,,8,82,9
82,0030649,DFT2406,2,202408,3.73,3.81,Good Standing,Dean's List,25,65,28
83,0030649,DFT2406,3,202501,3.71,3.77,Good Standing,Dean's List,42,48,47
84,0030649,DFT2406,4,202506,3.88,3.79,Good Standing,,50,40,56
85,0020453,DECE1501,1,201501,4,4,Good Standing,,9,81,10
86,0020453,DECE1501,2,201504,3.94,3.96,Good Standing,Dean's List,28,62,31
87,0020453,DECE1501,3,201508,3.72,3.86,Good Standing,Dean's List,47,43,52
88,0020453,DECE1501,4,201601,4,3.87,Good Standing,,51,39,57
89,0020453,DECE1501,5,201604,3.73,3.83,Good Standing,Dean's List,69,21,77
90,0020453,DECE1501,6,201608,4,3.86,Good Standing,President's List,86,4,96
91,0020453,DECE1501,7,201701,3.33,3.84,Good Standing,,90,0,100
92,0030235,DECE2401,1,202401,3.61,3.61,Good Standing,Dean's List,17,73,19
93,0030235,DECE2401,2,202406,3.67,3.63,Good Standing,,25,65,28
94,0030235,DECE2401,3,202408,3.78,3.69,Good Standing,Dean's List,43,47,48
95,0030235,DECE2401,4,202501,3.81,3.72,Good Standing,Dean's List,59,31,66
96,0030235,DECE2401,5,202506,4,3.76,Good Standing,,59,31,66
97,0025112,DECE1808,1,201808,2.75,2.75,Good Standing,,18,72,20
98,0025112,DECE1808,2,201901,3,2.84,Good Standing,,27,63,30
99,0025112,DECE1808,3,201904,3.02,2.91,Good Standing,,45,45,50
100,0025112,DECE1808,4,201908,3.17,2.98,Good Standing,,64,26,71
101,0025112,DECE1808,5,202001,3.67,3.02,Good Standing,,68,22,76
102,0025112,DECE1808,6,202004,3.22,3.07,Good Standing,,86,4,96
103,0025112,DECE1808,7,202008,4,3.11,Good Standing,,90,0,100
104,0022237,DECE1608,1,201608,2,2,Good Standing,,13,77,14
105,0022237,DECE1608,2,201701,2.11,2.05,Good Standing,,19,71,21
106,0022237,DECE1608,3,201704,2.31,2.26,Good Standing,,35,55,39
107,0022237,DECE1608,4,201708,2.71,2.5,Good Standing,,54,36,60
108,0022237,DECE1608,5,201801,2,2.46,Good Standing,,58,32,64
109,0022237,DECE1608,6,201804,2.52,2.48,Good Standing,,78,12,87
110,0022237,DECE1608,7,201808,2.71,2.56,Good Standing,,86,4,96
111,0022237,DECE1608,8,201901,2.67,2.56,Good Standing,,90,0,100
112,0023769,DECE1708,1,201708,2.48,2.48,Good Standing,,18,72,20
113,0023769,DECE1708,2,201801,2.22,2.38,Good Standing,,27,63,30
114,0023769,DECE1708,3,201804,2.31,2.35,Good Standing,,46,44,51
115,0023769,DECE1708,4,201808,2.75,2.49,Good Standing,,66,24,73
116,0023769,DECE1708,5,201901,3.67,2.56,Good Standing,,70,20,78
117,0023769,DECE1708,6,201904,2.64,2.58,Good Standing,,86,4,96
118,0023769,DECE1708,7,201908,3.67,2.63,Good Standing,,90,0,100
119,0024656,DECE1804,1,201804,3.73,3.73,Good Standing,Dean's List,18,72,20
120,0024656,DECE1804,2,201808,3.77,3.75,Good Standing,Dean's List,38,52,42
121,0024656,DECE1804,3,201901,3.67,3.74,Good Standing,,42,48,47
122,0024656,DECE1804,4,201904,3.84,3.78,Good Standing,Dean's List,61,29,68
123,0024656,DECE1804,5,201908,3.71,3.76,Good Standing,Dean's List,78,12,87
124,0024656,DECE1804,6,202001,3.75,3.76,Good Standing,,86,4,96
125,0024656,DECE1804,7,202004,4,3.77,Good Standing,,90,0,100
126,0022351,DECE1608,1,201608,3.17,3.17,Good Standing,,16,74,18
127,0022351,DECE1608,2,201701,3.11,3.14,Good Standing,,25,65,28
128,0022351,DECE1608,3,201704,3.15,3.14,Good Standing,,44,46,49
129,0022351,DECE1608,4,201708,3.15,3.15,Good Standing,,62,28,69
130,0022351,DECE1608,5,201801,3.67,3.18,Good Standing,,66,24,73
131,0022351,DECE1608,6,201804,3.45,3.25,Good Standing,,86,4,96
132,0022351,DECE1608,7,201808,3,3.24,Good Standing,,90,0,100
133,0029239,DDB2301,1,202301,2.12,2.12,Good Standing,,14,76,16
134,0029239,DDB2301,2,202306,2.5,2.24,Good Standing,,22,68,24
135,0029239,DDB2301,3,202308,2.39,2.3,Good Standing,,39,51,43
136,0029239,DDB2301,4,202401,1.56,2.19,Warning,,51,39,57
137,0029239,DDB2301,5,202406,2.71,2.25,Good Standing,,59,31,66
138,0029239,DDB2301,6,202408,2.87,2.37,Good Standing,,74,16,82
139,0029239,DDB2301,7,202501,2.97,2.61,Good Standing,,84,6,93
140,0029239,DDB2301,8,202506,4,2.7,Good Standing,,90,0,100
141,0029853,DFT2401,1,202401,3.18,3.18,Good Standing,,17,73,19
142,0029853,DFT2401,2,202406,3.29,3.21,Good Standing,,25,65,28
143,0029853,DFT2401,3,202408,3.45,3.31,Good Standing,,42,48,47
144,0029853,DFT2401,4,202501,3.11,3.25,Good Standing,,60,30,67
145,0029853,DFT2401,5,202506,3.63,3.29,Good Standing,,68,22,76
146,0021251,DECE1408,1,201408,2.92,2.92,Good Standing,,18,72,20
147,0021251,DECE1408,2,201501,3.33,3,Good Standing,,26,64,29
148,0021251,DECE1408,3,201504,2.53,2.78,Good Standing,,46,44,51
149,0021251,DECE1408,4,201508,3.06,2.87,Good Standing,,64,26,71
150,0021251,DECE1408,5,201601,3.67,2.93,Good Standing,,68,22,76
151,0021251,DECE1408,6,201604,2.94,2.93,Good Standing,,86,4,96
152,0021251,DECE1408,7,201608,3,2.93,Good Standing,,90,0,100
153,0030173,DDM2401,1,202401,2.33,2.33,Good Standing,,14,76,16
154,0030173,DDM2401,2,202406,3.25,2.63,Good Standing,,22,68,24
155,0030173,DDM2401,3,202408,2.86,2.72,Good Standing,,39,51,43
156,0030173,DDM2401,4,202501,2.39,2.76,Good Standing,,57,33,63
157,0030173,DDM2401,5,202506,3.63,2.87,Good Standing,,65,25,72
158,0026546,DECE1908,1,201908,2.03,2.03,Good Standing,,15,75,17
159,0026546,DECE1908,2,202001,2.83,2.31,Good Standing,,23,67,26
160,0026546,DECE1908,3,202004,2.69,2.55,Good Standing,,41,49,46
161,0026546,DECE1908,4,202008,2.18,2.43,Good Standing,,57,33,63
162,0026546,DECE1908,5,202101,2.6,2.46,Good Standing,,73,17,81
163,0026546,DECE1908,6,202105,4,2.55,Good Standing,,77,13,86
164,0026546,DECE1908,7,202108,2.89,2.65,Good Standing,,86,4,96
165,0026546,DECE1908,8,202201,2.67,2.65,Good Standing,,90,0,100
166,0027444,DECE2008,1,202008,2.53,2.53,Good Standing,,18,72,20
167,0027444,DECE2008,2,202101,3.02,2.79,Good Standing,,36,54,40
168,0027444,DECE2008,3,202105,2.54,2.74,Good Standing,,41,49,46
169,0027444,DECE2008,4,202108,2.64,2.71,Good Standing,,59,31,66
170,0027444,DECE2008,5,202201,2.94,2.85,Good Standing,,77,13,86
171,0027444,DECE2008,6,202205,2,2.8,Good Standing,,81,9,90
172,0027444,DECE2008,7,202208,1.8,2.74,Warning,,84,6,93
173,0027444,DECE2008,8,202301,3,2.75,Good Standing,,88,2,98
174,0027444,DECE2008,11,202401,2.67,2.79,Good Standing,,90,0,100
175,0027461,DECE2008,1,202008,0,0,,,0,90,0
176,0021252,DECE1408,1,201408,1.76,1.76,Warning,,12,78,13
177,0021252,DECE1408,2,201501,2.84,1.98,Good Standing,,20,70,22
178,0021252,DECE1408,3,201504,2.21,2.34,Good Standing,,39,51,43
179,0021252,DECE1408,4,201508,2.81,2.51,Good Standing,,55,35,61
180,0021252,DECE1408,5,201601,2.67,2.52,Good Standing,,59,31,66
181,0021252,DECE1408,6,201604,2.33,2.47,Good Standing,,77,13,86
182,0021252,DECE1408,7,201608,3.33,2.57,Good Standing,,86,4,96
183,0021252,DECE1408,8,201701,2.67,2.58,Good Standing,,90,0,100
184,0028769,DECE2205,1,202205,2.37,2.37,Good Standing,,8,82,9
185,0028769,DECE2205,2,202208,2.1,2.18,Good Standing,,22,68,24
186,0028769,DECE2205,3,202301,2.21,2.19,Good Standing,,41,49,46
187,0028769,DECE2205,4,202306,2.33,2.2,Good Standing,,45,45,50
188,0028769,DECE2205,5,202308,1.69,2.07,Warning,,56,34,62
189,0028769,DECE2205,6,202401,2.88,2.25,Good Standing,,75,15,83
190,0028769,DECE2205,7,202406,2.76,2.33,Good Standing,,82,8,91
191,0028769,DECE2205,8,202408,3,2.39,Good Standing,,85,5,94
192,0028769,DECE2205,9,202501,2.67,2.54,Good Standing,,91,0,100
193,0026972,DECE2004,1,202004,3.93,3.93,Good Standing,Dean's List,17,73,19
194,0026972,DECE2004,2,202008,3.95,3.94,Good Standing,Dean's List,35,55,39
195,0026972,DECE2004,3,202101,3.79,3.88,Good Standing,Dean's List,52,38,58
196,0026972,DECE2004,4,202105,4,3.89,Good Standing,,56,34,62
197,0026972,DECE2004,5,202108,4,3.92,Good Standing,President's List,75,15,83
198,0026972,DECE2004,6,202201,4,3.93,Good Standing,,86,4,96
199,0026972,DECE2004,7,202205,4,3.93,Good Standing,,90,0,100
200,0027751,DSW_PT2101,1,202101,3,3,Good Standing,,11,79,12
201,0027751,DSW_PT2101,2,202105,2.67,2.92,Good Standing,,16,74,18
202,0027751,DSW_PT2101,3,202108,3.54,3.17,Good Standing,,27,63,30
203,0027751,DSW_PT2101,4,202201,3.74,3.36,Good Standing,,37,53,41
204,0027751,DSW_PT2101,5,202205,4,3.43,Good Standing,,41,49,46
205,0027751,DSW_PT2101,6,202208,3.29,3.41,Good Standing,,50,40,56
206,0027751,DSW_PT2101,7,202301,3.53,3.43,Good Standing,Dean's List,62,28,69
207,0027751,DSW_PT2101,8,202305,3.89,3.48,Good Standing,,68,22,76
208,0027751,DSW_PT2101,9,202308,3.53,3.49,Good Standing,Dean's List,80,10,89
209,0027751,DSW_PT2101,10,202401,3.87,3.54,Good Standing,,90,0,100
210,0023748,DECE1708,1,201708,3.64,3.64,Good Standing,Dean's List,18,72,20
211,0023748,DECE1708,2,201801,3.44,3.56,Good Standing,,27,63,30
212,0023748,DECE1708,3,201804,3.63,3.59,Good Standing,Dean's List,46,44,51
213,0023748,DECE1708,4,201808,3.67,3.62,Good Standing,Dean's List,66,24,73
214,0023748,DECE1708,5,201901,3.67,3.62,Good Standing,,70,20,78
215,0023748,DECE1708,6,201904,3.28,3.56,Good Standing,,86,4,96
216,0023748,DECE1708,7,201908,4,3.58,Good Standing,,90,0,100
217,0026129,DECE1904,1,201904,3.67,3.67,Good Standing,Dean's List,17,73,19
218,0026129,DECE1904,2,201908,3.6,3.64,Good Standing,Dean's List,36,54,40
219,0026129,DECE1904,3,202001,4,3.68,Good Standing,,40,50,44
220,0026129,DECE1904,4,202004,3.88,3.74,Good Standing,Dean's List,59,31,66
221,0026129,DECE1904,5,202008,3.94,3.79,Good Standing,Dean's List,78,12,87
222,0026129,DECE1904,6,202101,4,3.8,Good Standing,,82,8,91
223,0026129,DECE1904,7,202105,3.88,3.81,Good Standing,,90,0,100
224,0026365,DECE2008,1,202008,3.06,3.06,Good Standing,,18,72,20
225,0026365,DECE2008,2,202101,2.79,2.92,Good Standing,,36,54,40
226,0026365,DECE2008,3,202105,2,2.73,Good Standing,,41,49,46
227,0026365,DECE2008,4,202108,2.14,2.58,Good Standing,,56,34,62
228,0026365,DECE2008,5,202201,2.56,2.69,Good Standing,,74,16,82
229,0026365,DECE2008,6,202205,1.5,2.62,Warning,,74,16,82
230,0026365,DECE2008,7,202208,1.38,2.55,Probation,,77,13,86
231,0029704,DFT2306,1,202306,3.04,3.04,Good Standing,,8,82,9
232,0029704,DFT2306,2,202308,3.83,3.58,Good Standing,Dean's List,25,65,28
233,0029704,DFT2306,3,202401,3.47,3.53,Good Standing,,42,48,47
234,0029704,DFT2306,4,202406,3.75,3.57,Good Standing,,50,40,56
235,0029704,DFT2306,5,202408,3.5,3.55,Good Standing,Dean's List,68,22,76
236,0029704,DFT2306,6,202501,3.69,3.58,Good Standing,Dean's List,84,6,93
237,0029704,DFT2306,7,202506,4,3.6,Good Standing,,90,0,100
238,0030566,DDB2408,1,202408,0,0,Warning,,0,90,0
239,0027346,DECE2004,1,202004,3.6,3.6,Good Standing,Dean's List,17,73,19
240,0027346,DECE2004,2,202008,3.46,3.54,Good Standing,,36,54,40
241,0027346,DECE2004,3,202101,3.47,3.51,Good Standing,,53,37,59
242,0027346,DECE2004,4,202105,3.67,3.53,Good Standing,,57,33,63
243,0027346,DECE2004,5,202108,3.71,3.57,Good Standing,Dean's List,76,14,84
244,0027346,DECE2004,6,202201,3.76,3.6,Good Standing,,87,3,97
245,0027346,DECE2004,7,202205,4,3.62,Good Standing,,91,0,100
246,0023402,DECE1704,1,201704,3.1,3.1,Good Standing,,17,73,19
247,0023402,DECE1704,2,201708,2.42,2.73,Good Standing,,33,57,37
248,0023402,DECE1704,3,201801,0,2.42,Warning,,33,57,37
249,0023402,DECE1704,5,201808,1.13,2.03,Probation,,39,51,43
250,0023402,DECE1704,6,201901,2.33,2.22,Good Standing,,43,47,48
251,0023402,DECE1704,7,201904,1.75,2.27,Dismissal,,54,36,60
252,0023402,DECE1704,8,201908,1,2.1,Dismissal,,59,31,66
253,0027412,DECE2101,1,202101,3.71,3.71,Good Standing,Dean's List,18,72,20
254,0027412,DECE2101,2,202105,3.67,3.69,Good Standing,,27,63,30
255,0027412,DECE2101,3,202108,3.67,3.69,Good Standing,Dean's List,43,47,48
256,0027412,DECE2101,4,202201,3.7,3.69,Good Standing,Dean's List,63,27,70
257,0027412,DECE2101,5,202205,3.33,3.67,Good Standing,,67,23,74
258,0027412,DECE2101,6,202208,3.73,3.68,Good Standing,Dean's List,86,4,96
259,0027412,DECE2101,7,202301,4,3.7,Good Standing,,90,0,100
260,0030148,DDM2401,1,202401,2.51,2.51,Good Standing,,14,76,16
261,0030148,DDM2401,2,202406,3,2.67,Good Standing,,22,68,24
262,0030148,DDM2401,3,202408,3.2,2.88,Good Standing,,39,51,43
263,0030148,DDM2401,4,202501,3.5,3.23,Good Standing,Dean's List,57,33,63
264,0030148,DDM2401,5,202506,3.5,3.26,Good Standing,,65,25,72
265,0029158,DECE2208,1,202208,3.16,3.16,Good Standing,,19,71,21
266,0029158,DECE2208,2,202301,3.43,3.3,Good Standing,,39,51,43
267,0029158,DECE2208,3,202306,3,3.27,Good Standing,,43,47,48
268,0029158,DECE2208,4,202308,3.08,3.22,Good Standing,,59,31,66
269,0029158,DECE2208,5,202401,3.21,3.22,Good Standing,,78,12,87
270,0029158,DECE2208,6,202406,3.67,3.26,Good Standing,,87,3,97
271,0029158,DECE2208,7,202408,3.67,3.28,Good Standing,,91,0,100
272,0030848,DECE2408,1,202408,3.72,3.72,Good Standing,Dean's List,18,72,20
273,0030848,DECE2408,2,202501,3.47,3.6,Good Standing,,35,55,39
274,0030848,DECE2408,3,202506,3.88,3.65,Good Standing,,35,55,39
275,0030160,DIT2401,1,202401,0,0,Warning,,0,90,0
276,0030160,DIT2401,2,202406,0.83,0.67,Probation,,2,88,2
277,0030160,DIT2401,3,202408,0.55,0.7,Dismissal,,5,85,6
278,0027300,DECE2004,1,202004,2.2,2.2,Good Standing,,17,73,19
279,0027300,DECE2004,2,202008,2.41,2.3,Good Standing,,35,55,39
280,0027300,DECE2004,3,202101,2.11,2.23,Good Standing,,49,41,54
281,0027300,DECE2004,4,202105,3,2.32,Good Standing,,55,35,61
282,0027300,DECE2004,5,202108,2.6,2.38,Good Standing,,70,20,78
283,0027300,DECE2004,6,202201,2.5,2.43,Good Standing,,82,8,91
284,0027300,DECE2004,7,202205,2.67,2.45,Good Standing,,86,4,96
285,0027300,DECE2004,8,202208,3.33,2.49,Good Standing,,90,0,100
286,0022011,DECE1604,1,201604,3.57,3.57,Good Standing,Dean's List,17,73,19
287,0022011,DECE1604,2,201608,3.51,3.54,Good Standing,Dean's List,36,54,40
288,0022011,DECE1604,3,201701,3,3.47,Good Standing,,40,50,44
289,0022011,DECE1604,4,201704,3.5,3.48,Good Standing,Dean's List,60,30,67
290,0022011,DECE1604,5,201708,3.59,3.51,Good Standing,Dean's List,80,10,89
291,0022011,DECE1604,6,201801,3.78,3.54,Good Standing,,89,1,99
292,0022011,DECE1604,7,201804,3.33,3.53,Good Standing,,93,0,100
293,0031260,DFT2506,1,202506,3.21,3.21,Good Standing,,8,82,9
294,0031264,DCS2506,1,202506,3.33,3.33,Good Standing,,8,82,9
295,0029587,DECE2306,1,202306,3.63,3.63,Good Standing,,8,82,9
296,0029587,DECE2306,2,202308,3.52,3.55,Good Standing,Dean's List,26,64,29
297,0029587,DECE2306,3,202401,3.94,3.71,Good Standing,Dean's List,43,47,48
298,0029587,DECE2306,4,202406,3.37,3.65,Good Standing,,51,39,57
299,0029587,DECE2306,5,202408,3.8,3.69,Good Standing,Dean's List,66,24,73
300,0029587,DECE2306,6,202501,3.81,3.71,Good Standing,Dean's List,82,8,91
301,0029587,DECE2306,7,202506,3.5,3.69,Good Standing,,82,8,91
302,0021219,DECE1401,1,201401,2.78,2.78,Good Standing,,9,81,10
303,0021219,DECE1401,2,201404,2.87,2.83,Good Standing,,27,63,30
304,0021219,DECE1401,3,201408,2.82,2.83,Good Standing,,46,44,51
305,0021219,DECE1401,4,201501,2.33,2.78,Good Standing,,50,40,56
306,0021219,DECE1401,5,201504,1.35,2.38,Warning,,60,30,67
307,0021219,DECE1401,6,201508,1.68,2.34,Probation,,68,22,76
308,0021219,DECE1401,7,201601,0,2.21,Dismissal,,68,22,76
309,0029031,DDM2208,1,202208,3.06,3.06,Good Standing,,17,73,19
310,0029031,DDM2208,2,202301,3.32,3.19,Good Standing,,34,56,38
311,0029031,DDM2208,3,202306,3.5,3.25,Good Standing,,42,48,47
312,0029031,DDM2208,4,202308,3.28,3.26,Good Standing,,60,30,67
313,0029031,DDM2208,5,202401,3.29,3.26,Good Standing,,76,14,84
314,0029031,DDM2208,6,202406,3.54,3.29,Good Standing,,84,6,93
315,0029031,DDM2208,7,202408,3.67,3.32,Good Standing,,90,0,100
316,0030216,DECE2401,1,202401,3.53,3.53,Good Standing,Dean's List,17,73,19
317,0030216,DECE2401,2,202406,3.13,3.4,Good Standing,,25,65,28
318,0030216,DECE2401,3,202408,3.72,3.54,Good Standing,Dean's List,43,47,48
319,0030216,DECE2401,4,202501,3.33,3.48,Good Standing,,59,31,66
320,0030216,DECE2401,5,202506,3.75,3.51,Good Standing,,59,31,66
321,0027303,DECE2004,1,202004,3,3,Good Standing,,17,73,19
322,0027303,DECE2004,2,202008,2.69,2.86,Good Standing,,35,55,39
323,0027303,DECE2004,3,202101,2.82,2.84,Good Standing,,52,38,58
324,0027303,DECE2004,4,202105,2.67,2.83,Good Standing,,56,34,62
325,0027303,DECE2004,5,202108,3.06,2.89,Good Standing,,75,15,83
326,0027303,DECE2004,6,202201,2.88,2.89,Good Standing,,86,4,96
327,0027303,DECE2004,7,202205,3.67,2.93,Good Standing,,90,0,100
328,0030027,DFT2308,1,202308,3.77,3.77,Good Standing,Dean's List,17,73,19
329,0030027,DFT2308,2,202401,3.72,3.75,Good Standing,Dean's List,34,56,38
330,0030027,DFT2308,3,202406,4,3.79,Good Standing,,42,48,47
331,0030027,DFT2308,4,202408,3.61,3.74,Good Standing,Dean's List,60,30,67
332,0030027,DFT2308,5,202501,3.75,3.74,Good Standing,Dean's List,76,14,84
333,0030027,DFT2308,6,202506,3.58,3.73,Good Standing,,84,6,93
334,0028867,DCS2205,1,202205,0,0,Warning,,2,88,2
335,0025093,DECE1808,1,201808,3.4,3.4,Good Standing,,18,72,20
336,0025093,DECE1808,2,201901,3,3.25,Good Standing,,27,63,30
337,0025093,DECE1808,3,201904,3.27,3.26,Good Standing,,45,45,50
338,0025093,DECE1808,4,201908,3.67,3.36,Good Standing,Dean's List,64,26,71
339,0025093,DECE1808,5,202001,4,3.41,Good Standing,,68,22,76
340,0025093,DECE1808,6,202004,3.67,3.47,Good Standing,Dean's List,86,4,96
341,0025093,DECE1808,7,202008,4,3.49,Good Standing,,90,0,100
342,0024822,DECE1804,1,201804,1.93,1.93,Warning,,12,78,13
343,0024822,DECE1804,2,201808,2.37,2.22,Good Standing,,27,63,30
344,0024822,DECE1804,3,201901,2.5,2.27,Good Standing,,33,57,37
345,0024822,DECE1804,4,201904,1.74,2.11,Probation,,41,49,46
346,0024822,DECE1804,5,201908,1.86,2.05,Dismissal,,50,40,56
347,0024822,DECE1804,6,202001,2.67,2.09,Good Standing,,54,36,60
348,0024822,DECE1804,7,202004,2.93,2.33,Good Standing,,69,21,77
349,0024822,DECE1804,8,202008,2.9,2.41,Good Standing,,76,14,84
350,0024822,DECE1804,9,202101,3.07,2.68,Good Standing,,91,0,100
351,0029505,DCS2301,1,202301,2.94,2.94,Good Standing,,17,73,19
352,0029505,DCS2301,2,202306,3.75,3.2,Good Standing,,25,65,28
353,0029505,DCS2301,3,202308,3.12,3.17,Good Standing,,42,48,47
354,0029505,DCS2301,4,202401,3.56,3.28,Good Standing,Dean's List,60,30,67
355,0029505,DCS2301,5,202406,3.5,3.31,Good Standing,,68,22,76
356,0029505,DCS2301,6,202408,3.38,3.32,Good Standing,,84,6,93
357,0029505,DCS2301,7,202501,4,3.37,Good Standing,,90,0,100
358,0028826,DCS2205,1,202205,2.34,2.34,Good Standing,,9,81,10
